event_id,event_name_clean,event_name_ascii,category,proximity,status_confidence_raw,start_date,end_date,date_raw_clean,month_section,notes,parse_status
eagles_live_at_sphere_final_shows__2026-03-21,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-03-21,2026-03-21,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-03-27,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-03-27,2026-03-27,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-03-28,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-03-28,2026-03-28,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
las_vegas_open_warhammer__2026-01-23,Las Vegas Open (Warhammer),las_vegas_open_warhammer,Festivals,Strip,High,2026-01-23,2026-01-25,Jan 23-25 (Expected),January 2026,"Annual, typically late January. 2025: Jan 24-26.; DQ: Single-source (flag for review).",parsed
ufc_324_gaethjevs_pimblett__2026-01-24,UFC 324: Gaethjevs Pimblett,ufc_324_gaethjevs_pimblett,Sports,Strip,Confirmed,2026-01-24,2026-01-24,"Jan 24, 2026",January 2026,,parsed
las_vegas_winter_market_home_furnishings__2026-01-25,Las Vegas Winter Market (Home Furnishings),las_vegas_winter_market_home_furnishings,Conventions,Near- Strip,Confirmed,2026-01-25,2026-01-29,"Jan 25- 29, 2026",January 2026,Biannual furniture market (Jan & July) 8; DQ: Single-source (flag for review).,parsed
tise_the_international_surface_event__2026-01-27,TISE (The International Surface Event),tise_the_international_surface_event,Conventions,Strip,Confirmed,2026-01-27,2026-01-29,"Jan 27-29, 2026",January 2026,Late January,parsed
nmhc_annual_meeting__2026-01-27,NMHC Annual Meeting,nmhc_annual_meeting,Private,Unknown,Medium,2026-01-27,2026-01-29,"Jan 27-29, 2026",January 2026,DQ: Single-source (flag for review).,parsed
leona_lewis_a_starry_night__2026-01-02,Leona Lewis: A Starry Night,leona_lewis_a_starry_night,Concerts,Strip,Confirmed,2026-01-02,2026-01-03,"Jan 2-3, 2026",January 2026,DQ: Single-source (flag for review).,parsed
jennifer_lopez_up_all_night_live__2026-01-02,Jennifer Lopez: Up All Night Live,jennifer_lopez_up_all_night_live,Concerts,Strip,Confirmed,2026-01-02,2026-01-03,"Jan 2-3, 2026; Mar 6-28, 2026 (8 shows in Mar)",January 2026,,parsed
jennifer_lopez_up_all_night_live__2026-03-06,Jennifer Lopez: Up All Night Live,jennifer_lopez_up_all_night_live,Concerts,Strip,Confirmed,2026-03-06,2026-03-28,"Jan 2-3, 2026; Mar 6-28, 2026 (8 shows in Mar)",January 2026,,parsed
spiegelworld_s_discoshow_closure__2026-01-03,Spiegelworld's DISCOSHOW Closure,spiegelworld_s_discoshow_closure,Negative,Unknown,Medium,2026-01-03,2026-01-03,"Jan 3, 2026",January 2026,"Permanent closure of a major Strip production show, reducing entertainment options at the start of the year.; DQ: Single-source (flag for review).",parsed
new_edition_boyz_ii_men_toni_braxton__2026-01-30,"New Edition, Boyz II Men, Toni Braxton",new_edition_boyz_ii_men_toni_braxton,Concerts,Strip,Confirmed,2026-01-30,2026-01-30,"Jan 30, 2026",January 2026,DQ: Single-source (flag for review).,parsed
ces_consumer_technology_association__2026-01-06,CES (Consumer Technology Association),ces_consumer_technology_association,Conventions,Strip,Confirmed,2026-01-06,2026-01-09,"Jan 6-9, 2026",January 2026,"Technology / Global Media; Technology / Global Media; DQ: Attendance estimates vary >50% (13,000 vs 170,000).",parsed
zac_brown_band_love_fear__2026-01-09,Zac Brown Band: Love & Fear,zac_brown_band_love_fear,Concerts,Strip,Confirmed,2026-01-09,2026-01-17,"Jan 9-17, 2026 (Multiple dates)",January 2026,DQ: Single-source (flag for review).,parsed
martin_luther_king_jr_day__2026-01-19,Martin Luther King Jr. Day,martin_luther_king_jr_day,Holidays,Unknown,Confirmed,2026-01-19,2026-01-19,"Mon, Jan 19, 2026",January 2026,"3-day weekend - moderate tourism uptick, events honoring Dr. King (parade downtown around Jan 17).",parsed
diana_ross__2026-02-10,Diana Ross,diana_ross,Concerts,Strip,Confirmed,2026-02-10,2026-02-14,"Feb 10-14, 2026",February 2026,DQ: Single-source (flag for review).,parsed
mariah_carey_the_celebration_of_mimi__2026-02-12,Mariah Carey: The Celebration of Mimi,mariah_carey_the_celebration_of_mimi,Concerts,Strip,Confirmed,2026-02-12,2026-02-15,"Feb 12-15, 2026 (Multiple dates)",February 2026,DQ: Single-source (flag for review).,parsed
kenny_babyface_edmonds__2026-02-13,Kenny Babyface Edmonds,kenny_babyface_edmonds,Concerts,Near-Strip,Confirmed,2026-02-13,2026-02-14,"Feb 13-14, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-14,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-14,2026-02-14,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-15,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-15,2026-02-15,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-18,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-18,2026-02-18,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-20,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-20,2026-02-20,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-21,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-21,2026-02-21,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-25,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-25,2026-02-25,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
new_kids_on_the_block_the_right_stuff__2026-02-28,New Kids on the Block: The Right Stuff,new_kids_on_the_block_the_right_stuff,Concerts,Strip,Confirmed,2026-02-28,2026-02-28,"Feb 14, 15, 18, 20, 21, 25, 28, 2026",February 2026,DQ: Single-source (flag for review).,parsed
magic_las_vegas_february__2026-02-17,MAGIC Las Vegas (February),magic_las_vegas_february,Conventions,Strip,Confirmed,2026-02-17,2026-02-19,"Feb 17-19, 2026",February 2026,Third week February,parsed
chinese_new_year_2026_year_of_the_horse__2026-02-17,Chinese New Year 2026 (Year of the Horse),chinese_new_year_2026_year_of_the_horse,Festivals,Strip,Confirmed,2026-02-17,2026-02-21,"Feb 17- 21, 2026",February 2026,Major Asian tourism influx; resorts mount elaborate CNY displays and lion dance performances (Feb 17 = Lunar New Year's Day),parsed
chinese_new_year_in_the_desert__2026-02-19,Chinese New Year in the Desert,chinese_new_year_in_the_desert,Festivals,Near-Strip,Confirmed,2026-02-19,2026-02-21,Feb 19-21,February 2026,"Annual, follows Lunar Calendar (Feb 17, 2026). 2025: Jan 30-Feb 1.; DQ: Single-source (flag for review).",parsed
rock_n_roll_las_vegas_marathon__2026-02-21,Rock 'n' Roll Las Vegas Marathon,rock_n_roll_las_vegas_marathon,Festivals,Strip,Confirmed,2026-02-21,2026-02-22,Feb 21-22 (Half Marathon: Feb 22),February 2026,"Annual, typically late Feb/early March. 2025: Feb 21-23.",parsed
rock_n_roll_las_vegas_run_half_marathon__2026-02-21,Rock 'n' Roll Las Vegas Run (Half Marathon),rock_n_roll_las_vegas_run_half_marathon,Festivals,Strip/ Near,Confirmed,2026-02-21,2026-02-22,"Feb 21- 22, 2026",February 2026,Nighttime half- marathon/10K on closed Strip (Feb 22) 71 72; 5K downtown Feb 21 73; DQ: Single-source (flag for review).,parsed
radiance_2026_cfo_conference__2026-02-23,Radiance 2026 (CFO Conference),radiance_2026_cfo_conference,Private,Unknown,Medium,2026-02-23,2026-02-25,"Feb 23-25, 2026",February 2026,DQ: Single-source (flag for review).,parsed
rugby_league_las_vegas__2026-02-28,Rugby League Las Vegas,rugby_league_las_vegas,Sports,Strip,Confirmed,2026-02-28,2026-02-28,Feb 28,February 2026,Australian tourism influx.; Australian tourism influx.,parsed
nada_show__2026-02-03,NADA Show,nada_show,Conventions,Strip,Confirmed,2026-02-03,2026-02-06,Feb 3 - 6,February 2026,Auto Dealers; Auto Dealers,parsed
sebastian_maniscalco_comedy__2026-02-06,Sebastian Maniscalco (Comedy),sebastian_maniscalco_comedy,Concerts,Strip,Confirmed,2026-02-06,2026-02-07,"Feb 6-7, 2026",February 2026,DQ: Single-source (flag for review).,parsed
presidents_day__2026-02-16,Presidents' Day,presidents_day,Holidays,Unknown,Confirmed,2026-02-16,2026-02-16,"Mon, Feb 16, 2026",February 2026,3-day weekend - strong domestic tourism; coincides with Valentine's Day weekend (Feb 14) - very busy for weddings and romance packages.,parsed
nascar_pennzoil_400_weekend__2026-03-14,NASCAR Pennzoil 400 Weekend,nascar_pennzoil_400_weekend,Sports,Greater Vegas,Confirmed,2026-03-14,2026-03-15,Mar 14-15 (Cup race Mar 15),March 2026,Mid-March spring race; DQ: Single-source (flag for review).,parsed
asd_market_week_spring__2026-03-17,ASD Market Week (Spring),asd_market_week_spring,Conventions,Strip,Confirmed,2026-03-17,2026-03-19,"Mar 17- 19, 2026",March 2026,Biannual wholesale merch. show (mid-week) 11; DQ: Single-source (flag for review).,parsed
luke_combs__2026-03-21,Luke Combs,luke_combs,Concerts,Unknown,Medium,2026-03-21,2026-03-21,Mar 21,March 2026,DQ: Single-source (flag for review).,parsed
luke_combs_my_kinda_saturday_night_tour__2026-03-21,Luke Combs - My Kinda Saturday Night Tour,luke_combs_my_kinda_saturday_night_tour,Concerts,Strip,Confirmed,2026-03-21,2026-03-21,"Mar 21, 2026",March 2026,,parsed
isc_west__2026-03-23,ISC West,isc_west,Conventions,Critical (Direct),Confirmed,2026-03-23,2026-03-27,Mar 23 - 27,March 2026,Security / Tech; Security / Tech; DQ: Single-source (flag for review).,parsed
national_hardware_show_2026__2026-03-30,National Hardware Show 2026,national_hardware_show_2026,Conventions,Strip,Confirmed,2026-03-30,2026-04-02,"Mar 30 - Apr 2, 2026",March 2026,Retail / Home Improvement; Retail / Home Improvement,parsed
conexpo_con_agg_2026__2026-03-03,CONEXPO- CON/AGG 2026,conexpo_con_agg_2026,Conventions,Strip,Confirmed,2026-03-03,2026-03-07,"Mar 3-7, 2026",March 2026,Construction machinery expo (triennial) 12,parsed
foreigner_the_hits_orchestral__2026-03-06,Foreigner: The Hits Orchestral,foreigner_the_hits_orchestral,Concerts,Strip,Confirmed,2026-03-06,2026-03-06,"Mar 6, 7, 11, 13, 14, 2026",March 2026,DQ: Single-source (flag for review).,parsed
foreigner_the_hits_orchestral__2026-03-07,Foreigner: The Hits Orchestral,foreigner_the_hits_orchestral,Concerts,Strip,Confirmed,2026-03-07,2026-03-07,"Mar 6, 7, 11, 13, 14, 2026",March 2026,DQ: Single-source (flag for review).,parsed
foreigner_the_hits_orchestral__2026-03-11,Foreigner: The Hits Orchestral,foreigner_the_hits_orchestral,Concerts,Strip,Confirmed,2026-03-11,2026-03-11,"Mar 6, 7, 11, 13, 14, 2026",March 2026,DQ: Single-source (flag for review).,parsed
foreigner_the_hits_orchestral__2026-03-13,Foreigner: The Hits Orchestral,foreigner_the_hits_orchestral,Concerts,Strip,Confirmed,2026-03-13,2026-03-13,"Mar 6, 7, 11, 13, 14, 2026",March 2026,DQ: Single-source (flag for review).,parsed
foreigner_the_hits_orchestral__2026-03-14,Foreigner: The Hits Orchestral,foreigner_the_hits_orchestral,Concerts,Strip,Confirmed,2026-03-14,2026-03-14,"Mar 6, 7, 11, 13, 14, 2026",March 2026,DQ: Single-source (flag for review).,parsed
nascar_spring_race_weekend__2026-03-06,NASCAR Spring Race Weekend,nascar_spring_race_weekend,Sports,Greater Vegas,High,2026-03-06,2026-03-08,"Mar 6-8, 2026 (est.)",March 2026,DQ: Single-source (flag for review).,parsed
himss_global_health_conference_exhibition__2026-03-09,HIMSS Global Health Conference & Exhibition,himss_global_health_conference_exhibition,Private,Unknown,Medium,2026-03-09,2026-03-12,"Mar 9-12, 2026",March 2026,DQ: Single-source (flag for review).,parsed
southern_nevada_sons_and_daughters_of_erin_st_patrick_s_day_festival_parade__2026-03-13,Southern Nevada Sons and Daughters of Erin St. Patrick's Day Festival & Parade,southern_nevada_sons_and_daughters_of_erin_st_patrick_s_day_festival_parade,StripLocal,Unknown,Medium,2026-03-13,2026-03-15,"March 13-15, 2026",March 2026,DQ: Single-source (flag for review).,parsed
college_basketball_crown__2026-04-01,College Basketball Crown,college_basketball_crown,Sports,South Strip,Confirmed,2026-04-01,2026-04-05,Apr 1 - 5,April 2026,New 16-team tournament.; New 16-team tournament.; DQ: Single-source (flag for review).,parsed
cinemacon__2026-04-13,CinemaCon,cinemacon,Conventions,Near-Strip,Confirmed,2026-04-13,2026-04-16,Apr 13 - 16,April 2026,Film Industry / Exhibition; Film Industry / Exhibition; DQ: Single-source (flag for review).,parsed
the_financial_brand_forum__2026-04-13,The Financial Brand Forum,the_financial_brand_forum,Private,Unknown,Medium,2026-04-13,2026-04-15,"Apr 13-15, 2026",April 2026,DQ: Single-source (flag for review).,parsed
phish__2026-04-16,Phish,phish,Concerts,Strip,Confirmed,2026-04-16,2026-05-02,Apr 16 - May 2,April 2026,,parsed
wrestlemania_42__2026-04-18,WrestleMania 42,wrestlemania_42,Sports,South Strip,Confirmed,2026-04-18,2026-04-19,Apr 18 - 19,April 2026,Major Compression.; Major Compression.; DQ: Single-source (flag for review).,parsed
nab_show_2026_broadcasters__2026-04-18,NAB Show 2026 (Broadcasters),nab_show_2026_broadcasters,Conventions,Strip,Confirmed,2026-04-18,2026-04-22,"Apr 18- 22, 2026",April 2026,Annual media/ broadcast expo (Apr); DQ: Single-source (flag for review).,parsed
adobe_summit__2026-04-19,Adobe Summit,adobe_summit,Conventions,Critical (Direct),Confirmed,2026-04-19,2026-04-22,Apr 19 - 22,April 2026,Digital Marketing (High Spend); Digital Marketing (High Spend); DQ: Single-source (flag for review).,parsed
b_52s_love_shack_residency__2026-04-22,"B-52s ""Love Shack"" Residency",b_52s_love_shack_residency,Concerts,Strip,Confirmed,2026-04-22,2026-04-22,"Apr 22, 24, 25, 2026",April 2026,DQ: Single-source (flag for review).,parsed
b_52s_love_shack_residency__2026-04-24,"B-52s ""Love Shack"" Residency",b_52s_love_shack_residency,Concerts,Strip,Confirmed,2026-04-24,2026-04-24,"Apr 22, 24, 25, 2026",April 2026,DQ: Single-source (flag for review).,parsed
b_52s_love_shack_residency__2026-04-25,"B-52s ""Love Shack"" Residency",b_52s_love_shack_residency,Concerts,Strip,Confirmed,2026-04-25,2026-04-25,"Apr 22, 24, 25, 2026",April 2026,DQ: Single-source (flag for review).,parsed
google_cloud_next_2026__2026-04-22,Google Cloud Next 2026,google_cloud_next_2026,Private,Unknown,Medium,2026-04-22,2026-04-24,"Apr 22-24, 2026",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_residency__2026-04-24,Cyndi Lauper Residency,cyndi_lauper_residency,Concerts,Strip,Confirmed,2026-04-24,2026-05-02,"Apr 24 - May 2, 2026 (Multiple dates)",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_live_in_las_vegas__2026-04-24,Cyndi Lauper: Live in Las Vegas,cyndi_lauper_live_in_las_vegas,Concerts,Strip,Confirmed,2026-04-24,2026-04-24,"Apr 24, 25, 29; May 1, 2, 2026",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_live_in_las_vegas__2026-04-25,Cyndi Lauper: Live in Las Vegas,cyndi_lauper_live_in_las_vegas,Concerts,Strip,Confirmed,2026-04-25,2026-04-25,"Apr 24, 25, 29; May 1, 2, 2026",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_live_in_las_vegas__2026-04-29,Cyndi Lauper: Live in Las Vegas,cyndi_lauper_live_in_las_vegas,Concerts,Strip,Confirmed,2026-04-29,2026-04-29,"Apr 24, 25, 29; May 1, 2, 2026",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_live_in_las_vegas__2026-05-01,Cyndi Lauper: Live in Las Vegas,cyndi_lauper_live_in_las_vegas,Concerts,Strip,Confirmed,2026-05-01,2026-05-01,"Apr 24, 25, 29; May 1, 2, 2026",April 2026,DQ: Single-source (flag for review).,parsed
cyndi_lauper_live_in_las_vegas__2026-05-02,Cyndi Lauper: Live in Las Vegas,cyndi_lauper_live_in_las_vegas,Concerts,Strip,Confirmed,2026-05-02,2026-05-02,"Apr 24, 25, 29; May 1, 2, 2026",April 2026,DQ: Single-source (flag for review).,parsed
easter_sunday_2026__2026-04-05,Easter Sunday 2026,easter_sunday_2026,Holidays,Unknown,Confirmed,2026-04-05,2026-04-05,"Apr 5, 2026",April 2026,"Busy Easter weekend (family travel, church services offered at some resorts). Many West Coast families visit for the long weekend.",parsed
morgan_wallen__2026-05-01,Morgan Wallen,morgan_wallen,Concerts,Unknown,Medium,2026-05-01,2026-05-02,May 1 - 2,May 2026,DQ: Single-source (flag for review).,parsed
morgan_wallen_still_the_problem_tour__2026-05-01,Morgan Wallen - Still The Problem Tour,morgan_wallen_still_the_problem_tour,Concerts,Strip,Confirmed,2026-05-01,2026-05-02,"May 1-2, 2026",May 2026,,parsed
goo_goo_dolls_residency__2026-05-15,Goo Goo Dolls (residency),goo_goo_dolls_residency,Concerts,Strip,Confirmed,2026-05-15,2026-05-15,"May 15, 16, 20, 22, 23, 2026",May 2026,DQ: Single-source (flag for review).,parsed
goo_goo_dolls_residency__2026-05-16,Goo Goo Dolls (residency),goo_goo_dolls_residency,Concerts,Strip,Confirmed,2026-05-16,2026-05-16,"May 15, 16, 20, 22, 23, 2026",May 2026,DQ: Single-source (flag for review).,parsed
goo_goo_dolls_residency__2026-05-20,Goo Goo Dolls (residency),goo_goo_dolls_residency,Concerts,Strip,Confirmed,2026-05-20,2026-05-20,"May 15, 16, 20, 22, 23, 2026",May 2026,DQ: Single-source (flag for review).,parsed
goo_goo_dolls_residency__2026-05-22,Goo Goo Dolls (residency),goo_goo_dolls_residency,Concerts,Strip,Confirmed,2026-05-22,2026-05-22,"May 15, 16, 20, 22, 23, 2026",May 2026,DQ: Single-source (flag for review).,parsed
goo_goo_dolls_residency__2026-05-23,Goo Goo Dolls (residency),goo_goo_dolls_residency,Concerts,Strip,Confirmed,2026-05-23,2026-05-23,"May 15, 16, 20, 22, 23, 2026",May 2026,DQ: Single-source (flag for review).,parsed
electric_daisy_carnival_edc_las_vegas__2026-05-15,Electric Daisy Carnival (EDC) Las Vegas,electric_daisy_carnival_edc_las_vegas,Festivals,Greater Vegas,Confirmed,2026-05-15,2026-05-17,"May 15- 17, 2026",May 2026,"Variable. 450,000+ attendees. They sleep days/party nights. Late breakfast/brunch surge.; DQ: Attendance estimates vary >50% (150,000 vs 525,000).",parsed
61st_academy_of_country_music_awards__2026-05-17,61st Academy of Country Music Awards,61st_academy_of_country_music_awards,Private,Unknown,Medium,2026-05-17,2026-05-17,"May 17, 2026",May 2026,DQ: Single-source (flag for review).,parsed
dell_technologies_world_2026__2026-05-18,Dell Technologies World 2026,dell_technologies_world_2026,Conventions,Strip,Confirmed,2026-05-18,2026-05-21,"May 18-21, 2026",May 2026,Enterprise Tech; Enterprise Tech,parsed
major_boxing_superfight_cincode_mayo__2026-05-02,Major Boxing Superfight (Cincode Mayo),major_boxing_superfight_cincode_mayo,Sports,Strip,High,2026-05-02,2026-05-02,"May 2, 2026 (est.)",May 2026,DQ: Single-source (flag for review).,parsed
punk_rock_bowling_music_festival__2026-05-22,Punk Rock Bowling & Music Festival,punk_rock_bowling_music_festival,Festivals,Near-Strip,High,2026-05-22,2026-05-25,May 22-25 (Expected),May 2026,"Annual, typically Memorial Day Weekend. 2025: May 23-26.; DQ: Single-source (flag for review).",parsed
rod_stewart_the_encore_shows__2026-05-27,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-05-27,2026-05-27,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
rod_stewart_the_encore_shows__2026-05-29,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-05-29,2026-05-29,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
rod_stewart_the_encore_shows__2026-05-30,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-05-30,2026-05-30,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
rod_stewart_the_encore_shows__2026-06-02,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-06-02,2026-06-02,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
rod_stewart_the_encore_shows__2026-06-04,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-06-04,2026-06-04,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
rod_stewart_the_encore_shows__2026-06-06,Rod Stewart: The Encore Shows,rod_stewart_the_encore_shows,Concerts,Strip,Confirmed,2026-06-06,2026-06-06,"May 27, 29, 30; June 2, 4, 6, 2026",May 2026,DQ: Single-source (flag for review).,parsed
jck_las_vegas__2026-05-29,JCK Las Vegas,jck_las_vegas,Conventions,Strip,Confirmed,2026-05-29,2026-06-01,May 29 - Jun 1,May 2026,Jewelry / Luxury Retail; Jewelry / Luxury Retail,parsed
no_doubt__2026-05-06,No Doubt,no_doubt,Concerts,Strip,Confirmed,2026-05-06,2026-06-13,May 6 - Jun 13,May 2026,,parsed
no_doubt_live_at_sphere_reunion__2026-05-06,No Doubt - Live at Sphere (reunion),no_doubt_live_at_sphere_reunion,Concerts,Strip,Confirmed,2026-05-06,2026-05-06,"May 6, 8, 9, 13, 15, 16, 21, 23, 24, 27, 29, 30, 2026",May 2026,DQ: Single-source (flag for review).,parsed
no_doubt_live_at_sphere_reunion__2026-05-08,No Doubt - Live at Sphere (reunion),no_doubt_live_at_sphere_reunion,Concerts,Strip,Confirmed,2026-05-08,2026-05-08,"May 6, 8, 9, 13, 15, 16, 21, 23, 24, 27, 29, 30, 2026",May 2026,DQ: Single-source (flag for review).,parsed
no_doubt_live_at_sphere_reunion__2026-05-09,No Doubt - Live at Sphere (reunion),no_doubt_live_at_sphere_reunion,Concerts,Strip,Confirmed,2026-05-09,2026-05-09,"May 6, 8, 9, 13, 15, 16, 21, 23, 24, 27, 29, 30, 2026",May 2026,DQ: Single-source (flag for review).,parsed
